Date,Price_TTF,Sigma_TTF,Low_Th_TTF,High_Th_TTF,Hedge_Ratio_TTF,Price_Spread,Sigma_Spread,Low_Th_Spread,High_Th_Spread,Hedge_Ratio_Spread,HedgeQty_TTF,PnL_TTF,CumPnL_TTF
2025-01-02,49.8511,1.1682600186139884,0.9718619316224884,2.292998831410675,0.9,76.628,80.44411230185422,20.812776944917548,34.49726610060896,1.0,7.2,6.530400000000026,6.530400000000026
2025-01-03,49.4501,1.1066822517944273,0.9719489740539512,2.2928721815223283,0.9,25.613,80.57788359368085,20.839481413980803,34.62804540048569,1.0,7.2,-2.8872000000000244,3.6432000000000015
2025-01-06,46.9508,1.1886581512385086,0.9720360164854142,2.2927455316339818,0.9,51.038,80.10338805876505,20.866185883044057,34.68541638636336,1.0,7.2,-17.99495999999999,-14.351759999999986
2025-01-07,47.6752,1.1821401126867281,0.9727027031311817,2.289130823262262,0.9,96.906,80.53225944513125,20.86770349972866,34.888370761735544,1.0,7.2,5.21567999999997,-9.136080000000018
2025-01-08,45.8,1.232428428287248,0.9733693897769493,2.285516114890542,0.9,111.952,80.48779918634916,20.869221116413264,34.95686361136803,1.0,7.2,-13.501439999999997,-22.637520000000016
2025-01-09,45.4989,1.233310920423874,0.974036076422717,2.281901406518822,0.9,102.365,80.0896485050691,20.870738733097866,34.962947364576564,1.0,7.2,-2.1679199999999867,-24.805440000000004
2025-01-10,46.1609,1.2374126742670706,0.9747027630684845,2.2782866981471024,0.9,107.235,79.829484088814,20.872256349782468,34.97867445067693,1.0,7.2,4.766399999999993,-20.03904000000001
2025-01-13,49.2256,1.3361098077765854,0.97474173868235,2.2770252182144253,0.9,110.045,79.59914560080504,20.96323792302756,35.01965911779811,1.0,7.2,22.065840000000016,2.026800000000005
2025-01-14,47.6749,1.3668615440649723,0.9747807142962157,2.275763738281748,0.9,287.748,84.85358564329582,21.05421949627265,35.05947421598637,1.0,7.2,-11.165039999999994,-9.138239999999989
2025-01-15,47.2998,1.3361051319748973,0.9748196899100814,2.274502258349071,0.9,146.782,85.85317245034399,21.145201069517746,35.13549201221924,1.0,7.2,-2.700720000000024,-11.838960000000013
